forme	lemme	catégorie
jambes	jambe	NCFP
perdues	perdre	VPARPFP
dans	dans	PREP
le	le	DETDMS
tas	tas	NCMIN
des	de le	DETDPIG
navets	navet	NCMP
qui	qui	PRI
emplissaient	emplir	VINDI3P
le	le	DETDMS
cul	cul	NCMS
de	de	PREP
la	le	DETDFS
voiture	voiture	NCFS
;	;	PCTFORTE
sa	son	DETPOSS
face	face	NCFS
s'	se	PPER3S
enfonçait	enfoncer	VINDI3S
au	à le	DETDMS
beau	beau	ADJMS
milieu	milieu	NCMS
des	un	DETDPIG
carottes	carotte	NCFP
,	,	PCTFAIB
dont	dont	PRI
les	le	DETDPIG
bottes	botte	NCFP
montaient	monter	VINDI3P
et	et	COO
s'	se	PPER3S
épanouissaient	épanouir	VINDI3P
;	;	PCTFORTE
et	et	COO
,	,	PCTFAIB
les	le	DETDPIG
bras	bras	NCMIN
élargis	élargi	ADJMP
,	,	PCTFAIB
exténué	exténué	ADJMS
,	,	PCTFAIB
embrassant	embrassant	ADJMS
la	le	DETDFS
charge	charge	NCFS
énorme	énorme	ADJSIG
des	de le	DETDPIG
légumes	légume	NCMP
,	,	PCTFAIB
de	de	PREP
peur	peur	NCFS
d'	de	PREP
être	être	VINF
jeté	jeter	VPARPMS
à	à	PREP
terre	terre	NCFS
par	par	PREP
un	un	DETIMS
cahot	cahot	NCMS
,	,	PCTFAIB
il	il	PPER3S
regardait	regarder	VINDI3S
,	,	PCTFAIB
devant	devant	PREP
lui	lui	PPER3S
,	,	PCTFAIB
les	le	DETDPIG
deux	deux	ADJNUM
lignes	ligne	NCFP
interminables	interminable	ADJPIG
des	de le	DETDPIG
becs	bec	NCMP
de	de	PREP
gaz	gaz	NCMIN
qui	qui	PRI
se	se	PPER3S
rapprochaient	rapprocher	VINDI3P
et	et	COO
se	se	PPER3S
confondaient	confondre	VINDI3P
,	,	PCTFAIB
